y,client_id,vol_type,total_cases_opened,UNRATE,HSN1F,FEDFUNDS,MORTGAGE30US,TotalOrders,month,lag_1,drv_lag_1,lag_2,drv_lag_2,lag_3,drv_lag_3,lag_4,drv_lag_4,lag_5,drv_lag_5,lag_6,drv_lag_6,lag_7,drv_lag_7,lag_8,drv_lag_8,lag_9,drv_lag_9,lag_10,drv_lag_10,lag_11,drv_lag_11,lag_12,drv_lag_12,trend
4628,Credit - Customer Support,tickets,4628,3.7,681.0,5.33,6.6425,353576,1,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,4516,557680,4472,365936,4666,419712,4500,349880,4037,445123,24.0
4932,Credit - Customer Support,tickets,4932,3.9,658.0,5.33,6.776000000000001,365272,2,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,4516,557680,4472,365936,4666,419712,4500,349880,25.0
5061,Credit - Customer Support,tickets,5061,3.9,692.0,5.33,6.82,446408,3,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,4516,557680,4472,365936,4666,419712,26.0
4833,Credit - Customer Support,tickets,4833,3.9,719.0,5.33,6.9925,427637,4,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,4516,557680,4472,365936,27.0
4231,Credit - Customer Support,tickets,4231,4.0,665.0,5.33,7.06,617341,5,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,4516,557680,28.0
4128,Credit - Customer Support,tickets,4128,4.1,671.0,5.33,6.9175,426866,6,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,4850,402628,29.0
4649,Credit - Customer Support,tickets,4649,4.2,710.0,5.33,6.8475,407456,7,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,4756,356975,30.0
4424,Credit - Customer Support,tickets,4424,4.2,693.0,5.33,6.5,389741,8,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,5334,351285,31.0
3789,Credit - Customer Support,tickets,3789,4.1,717.0,5.13,6.18,481904,9,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,4959,345878,32.0
4343,Credit - Customer Support,tickets,4343,4.1,621.0,4.83,6.428,433823,10,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,4619,313223,33.0
2927,Credit - Customer Support,tickets,2927,4.2,675.0,4.64,6.805,354321,11,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,4803,330878,34.0
2528,Credit - Customer Support,tickets,2528,4.1,718.0,4.48,6.715,356846,12,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,3763,263039,35.0
2946,Credit - Customer Support,tickets,2946,4.0,662.0,4.33,6.958,340959,1,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,4628,353576,36.0
4751,Credit - Customer Support,tickets,4751,4.1,642.0,4.33,6.842499999999999,296083,2,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,4932,365272,37.0
6050,Credit - Customer Support,tickets,6050,4.2,660.0,4.33,6.65,361906,3,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,5061,446408,38.0
6224,Credit - Customer Support,tickets,6224,4.2,706.0,4.33,6.725,323873,4,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,4833,427637,39.0
6151,Credit - Customer Support,tickets,6151,4.2,627.0,4.33,6.816,489173,5,6224,323873,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,4231,617341,40.0
5666,Credit - Customer Support,tickets,5666,4.1,676.0,4.33,6.8175,339467,6,6151,489173,6224,323873,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,4128,426866,41.0
7213,Credit - Customer Support,tickets,7213,4.2,664.0,4.33,6.720000000000001,340721,7,5666,339467,6151,489173,6224,323873,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,4649,407456,42.0
8037,Credit - Customer Support,tickets,8037,4.3,800.0,4.33,6.5875,354019,8,7213,340721,5666,339467,6151,489173,6224,323873,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,4424,389741,43.0
8197,Credit - Customer Support,tickets,8197,4.3,800.0,4.33,6.3525,357882,9,8037,354019,7213,340721,5666,339467,6151,489173,6224,323873,6050,361906,4751,296083,2946,340959,2528,356846,2927,354321,4343,433823,3789,481904,44.0
2797,Credit - Tech Support,tickets,2797,3.7,681.0,5.33,6.6425,353576,1,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,4159,557680,3840,365936,4258,419712,3845,349880,3179,445123,24.0
2483,Credit - Tech Support,tickets,2483,3.9,658.0,5.33,6.776000000000001,365272,2,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,4159,557680,3840,365936,4258,419712,3845,349880,25.0
2314,Credit - Tech Support,tickets,2314,3.9,692.0,5.33,6.82,446408,3,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,4159,557680,3840,365936,4258,419712,26.0
2303,Credit - Tech Support,tickets,2303,3.9,719.0,5.33,6.9925,427637,4,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,4159,557680,3840,365936,27.0
2260,Credit - Tech Support,tickets,2260,4.0,665.0,5.33,7.06,617341,5,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,4159,557680,28.0
1925,Credit - Tech Support,tickets,1925,4.1,671.0,5.33,6.9175,426866,6,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,3753,402628,29.0
2433,Credit - Tech Support,tickets,2433,4.2,710.0,5.33,6.8475,407456,7,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,3134,356975,30.0
2276,Credit - Tech Support,tickets,2276,4.2,693.0,5.33,6.5,389741,8,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,3431,351285,31.0
1985,Credit - Tech Support,tickets,1985,4.1,717.0,5.13,6.18,481904,9,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,2519,345878,32.0
2229,Credit - Tech Support,tickets,2229,4.1,621.0,4.83,6.428,433823,10,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,2580,313223,33.0
1628,Credit - Tech Support,tickets,1628,4.2,675.0,4.64,6.805,354321,11,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,2477,330878,34.0
1734,Credit - Tech Support,tickets,1734,4.1,718.0,4.48,6.715,356846,12,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,1979,263039,35.0
2072,Credit - Tech Support,tickets,2072,4.0,662.0,4.33,6.958,340959,1,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,2797,353576,36.0
2138,Credit - Tech Support,tickets,2138,4.1,642.0,4.33,6.842499999999999,296083,2,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,2483,365272,37.0
2076,Credit - Tech Support,tickets,2076,4.2,660.0,4.33,6.65,361906,3,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,2314,446408,38.0
1682,Credit - Tech Support,tickets,1682,4.2,706.0,4.33,6.725,323873,4,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,2303,427637,39.0
1501,Credit - Tech Support,tickets,1501,4.2,627.0,4.33,6.816,489173,5,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,2260,617341,40.0
1688,Credit - Tech Support,tickets,1688,4.1,676.0,4.33,6.8175,339467,6,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,1925,426866,41.0
2328,Credit - Tech Support,tickets,2328,4.2,664.0,4.33,6.720000000000001,340721,7,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,2433,407456,42.0
2177,Credit - Tech Support,tickets,2177,4.3,800.0,4.33,6.5875,354019,8,2328,340721,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,2276,389741,43.0
1893,Credit - Tech Support,tickets,1893,4.3,800.0,4.33,6.3525,357882,9,2177,354019,2328,340721,1688,339467,1501,489173,1682,323873,2076,361906,2138,296083,2072,340959,1734,356846,1628,354321,2229,433823,1985,481904,44.0
